County,Year,Total_Population,Median_Income,White_Perc,Poverty_Perc,Uninsured_Perc,Asthma_Incidents,Asthma_Rate,Acres_Burned,Duration,Wildfire_Count
Alameda,2013,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6705,55.0,478.0,0 days,4.0
Alameda,2015,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,6513,53.1,3340.0,5 days,5.0
Alameda,2016,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5651,43.7,211.0,1 days,1.0
Alameda,2017,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5763,44.4,537.0,662 days,5.0
Alameda,2018,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5243,40.2,1288.0,1333 days,8.0
Alameda,2019,1656754.0,43583.0,0.314136558595905,0.09752866146694078,0.03742981758305699,5130,38.9,533.0,6 days,9.0
Amador,2013,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,203,74.0,96.0,1 days,1.0
Amador,2014,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,181,58.7,4240.0,8 days,1.0
Amador,2015,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,151,49.1,415.0,1 days,2.0
Amador,2016,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,131,48.4,672.0,9 days,5.0
Amador,2017,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,138,51.8,10.0,134 days,1.0
Amador,2018,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,103,38.5,842.0,383 days,2.0
Amador,2019,38429.0,31160.0,0.7815712092430196,0.08980197246870852,0.03679512867886232,126,44.3,10.0,0 days,1.0
Butte,2013,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,695,41.6,3459.0,14 days,7.0
Butte,2014,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,680,40.5,521.0,7 days,3.0
Butte,2015,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,736,43.8,2553.0,13 days,6.0
Butte,2016,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,544,34.0,1965.0,17 days,10.0
Butte,2017,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,710,43.9,25618.0,3392 days,18.0
Butte,2018,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,706,41.6,155553.0,1796 days,13.0
Butte,2019,225817.0,24067.0,0.7197730905999106,0.18587617407015414,0.05328208239415102,557,33.0,1033.0,36 days,9.0
Calaveras,2013,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,162,50.0,77.0,3 days,2.0
Calaveras,2014,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,140,44.0,205.0,3 days,2.0
Calaveras,2015,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,139,42.7,114.0,5 days,1.0
Calaveras,2016,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,131,42.3,1309.0,19 days,7.0
Calaveras,2017,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,148,49.8,343.0,863 days,5.0
Calaveras,2018,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,136,45.9,506.0,497 days,3.0
Calaveras,2019,45514.0,29124.0,0.809355363184954,0.113086083402909,0.04185525332864613,135,46.5,94.0,2 days,2.0
Colusa,2013,21454.0,27103.0,0.35312762188869207,0.12929989745502005,0.08800223734501725,41,27.5,28.0,4 days,1.0
Colusa,2017,21454.0,27103.0,0.35312762188869207,0.12929989745502005,0.08800223734501725,25,16.8,70.0,176 days,1.0
Colusa,2018,21454.0,27103.0,0.35312762188869207,0.12929989745502005,0.08800223734501725,68,42.9,459198.0,506 days,3.0
Colusa,2019,21454.0,27103.0,0.35312762188869207,0.12929989745502005,0.08800223734501725,61,36.5,20.0,0 days,1.0
Contra Costa,2013,,,,,,4691,57.2,3877.0,6 days,3.0
Contra Costa,2014,,,,,,4423,53.6,80.0,1 days,1.0
Contra Costa,2015,,,,,,4528,54.8,195.0,0 days,1.0
Contra Costa,2016,,,,,,3836,45.7,40.0,0 days,1.0
Contra Costa,2017,,,,,,4502,53.3,621.0,588 days,3.0
Contra Costa,2018,,,,,,4077,47.6,754.0,1525 days,9.0
Contra Costa,2019,,,,,,3950,45.3,1317.0,11 days,9.0
Del Norte,2015,,,,,,91,41.9,37870.0,104 days,2.0
Del Norte,2016,,,,,,101,53.9,150.0,4 days,1.0
Del Norte,2017,,,,,,98,51.6,387.0,490 days,3.0
El Dorado,2013,,,,,,441,33.5,889.0,3 days,4.0
El Dorado,2014,,,,,,402,31.4,102101.0,37 days,5.0
El Dorado,2015,,,,,,422,32.8,135.0,11 days,3.0
El Dorado,2016,,,,,,409,32.4,5922.0,26 days,5.0
El Dorado,2017,,,,,,487,38.2,1147.0,1169 days,9.0
El Dorado,2018,,,,,,433,32.7,611.0,724 days,5.0
El Dorado,2019,,,,,,402,30.8,3606.0,5 days,6.0
Fresno,2013,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3402,49.8,23411.0,66 days,6.0
Fresno,2014,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3277,47.7,171.0,1 days,3.0
Fresno,2015,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3454,49.5,151898.0,108 days,4.0
Fresno,2016,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,2864,41.1,15580.0,45 days,12.0
Fresno,2017,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3412,48.1,22809.0,4514 days,24.0
Fresno,2018,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3248,45.2,259.0,990 days,5.0
Fresno,2019,984521.0,25238.0,0.294203983459977,0.2216854693805414,0.07237732867049053,3006,41.4,283.0,8 days,3.0
Glenn,2013,27976.0,24329.0,0.5146554189305119,0.1722190448956248,0.06934515298827566,89,44.3,443.0,9 days,2.0
Glenn,2017,27976.0,24329.0,0.5146554189305119,0.1722190448956248,0.06934515298827566,102,48.9,0.0,174 days,1.0
Glenn,2018,27976.0,24329.0,0.5146554189305119,0.1722190448956248,0.06934515298827566,70,33.9,412695.0,808 days,4.0
Glenn,2019,27976.0,24329.0,0.5146554189305119,0.1722190448956248,0.06934515298827566,67,29.2,63.0,-1 days,1.0
Humboldt,2013,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,757,72.4,12503.0,2 days,2.0
Humboldt,2014,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,745,69.9,598.0,9 days,4.0
Humboldt,2015,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,682,64.8,5223.0,43 days,5.0
Humboldt,2016,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,655,66.8,643.0,25 days,3.0
Humboldt,2017,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,678,69.0,228.0,837 days,6.0
Humboldt,2018,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,550,55.1,3700.0,621 days,4.0
Humboldt,2019,135940.0,25114.0,0.7435486243931146,0.19621892011181405,0.06880241282918935,485,48.9,30.0,14 days,1.0
Inyo,2013,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,60,47.7,406.0,4 days,1.0
Inyo,2014,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,58,43.9,178.0,7 days,2.0
Inyo,2015,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,55,40.1,7000.0,6 days,1.0
Inyo,2016,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,51,38.8,5473.0,2 days,2.0
Inyo,2018,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,56,43.8,6556.0,915 days,4.0
Inyo,2019,17977.0,31566.0,0.6215163820437225,0.09094954664293263,0.05028647716526673,59,48.7,12271.0,152 days,2.0
Kern,2013,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,2845,44.6,6464.0,17 days,4.0
Kern,2014,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,3075,48.4,9690.0,31 days,4.0
Kern,2015,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,3293,50.3,279.0,7 days,3.0
Kern,2016,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,2780,43.3,81371.0,89 days,12.0
Kern,2017,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,2634,40.3,13080.0,4503 days,24.0
Kern,2018,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,2390,36.4,5108.0,1451 days,9.0
Kern,2019,887641.0,25013.0,0.34160769950914843,0.2027621527171458,0.06592755404493483,2483,37.8,3472.0,16 days,6.0
Kings,2017,150691.0,26841.0,0.3220962101253559,0.164077483061364,0.05593565640947369,568,53.3,51221.0,558 days,3.0
Kings,2018,150691.0,26841.0,0.3220962101253559,0.164077483061364,0.05593565640947369,465,44.6,2995.0,151 days,1.0
Kings,2019,150691.0,26841.0,0.3220962101253559,0.164077483061364,0.05593565640947369,377,36.0,161.0,57 days,1.0
Lake,2013,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,341,71.7,710.0,12 days,10.0
Lake,2014,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,368,74.0,4575.0,11 days,3.0
Lake,2015,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,363,76.9,95491.0,45 days,6.0
Lake,2016,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,379,79.4,4339.0,23 days,7.0
Lake,2017,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,370,79.4,2775.0,1000 days,8.0
Lake,2018,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,391,88.1,474693.0,1570 days,10.0
Lake,2019,64195.0,25172.0,0.7050081782070254,0.18308279461017213,0.06603318015421762,385,89.5,201.0,6 days,5.0
Lassen,2013,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,66,22.9,97.0,3 days,1.0
Lassen,2015,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,115,40.2,10811.0,7 days,5.0
Lassen,2016,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,86,33.8,2617.0,13 days,2.0
Lassen,2017,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,96,37.2,110006.0,1301 days,8.0
Lassen,2018,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,88,35.5,20289.0,1574 days,10.0
Lassen,2019,30818.0,30814.0,0.6542929456810954,0.09182945032124083,0.02410928678045298,85,36.0,7977.0,27 days,10.0
Los Angeles,2013,,,,,,29502,38.4,31503.0,18 days,5.0
Los Angeles,2014,,,,,,30170,39.1,2416.0,248 days,3.0
Los Angeles,2015,,,,,,31687,40.8,1289.0,24 days,4.0
Los Angeles,2016,,,,,,30316,38.6,11488.0,708 days,7.0
Los Angeles,2017,,,,,,30443,38.7,31190.0,2089 days,13.0
Los Angeles,2018,,,,,,28932,36.6,102232.0,1267 days,8.0
Los Angeles,2019,,,,,,29619,37.3,14462.0,41 days,6.0
Madera,2013,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,337,29.1,937.0,7 days,5.0
Madera,2014,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,378,32.5,14780.0,123 days,4.0
Madera,2015,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,445,37.7,7257.0,29 days,4.0
Madera,2016,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,361,32.3,306.0,10 days,4.0
Madera,2017,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,417,37.1,15772.0,1542 days,9.0
Madera,2018,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,327,28.5,5240.0,1575 days,9.0
Madera,2019,155433.0,23691.0,0.34132391448405425,0.18833195010068646,0.06604131683747981,340,29.7,213.0,1 days,1.0
Marin,2017,259943.0,52866.0,0.7115406069792224,0.07058855210565393,0.03164539918366719,399,20.4,73.0,377 days,2.0
Marin,2018,259943.0,52866.0,0.7115406069792224,0.07058855210565393,0.03164539918366719,415,20.8,209.0,18226 days,3.0
Marin,2019,259943.0,52866.0,0.7115406069792224,0.07058855210565393,0.03164539918366719,384,19.3,67.0,0 days,1.0
Mariposa,2013,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,46,37.0,1708.0,10 days,1.0
Mariposa,2014,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,51,33.5,12128.0,193 days,9.0
Mariposa,2015,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,69,51.8,500.0,7 days,3.0
Mariposa,2017,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,49,45.0,98706.0,1876 days,12.0
Mariposa,2018,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,56,49.1,97131.0,900 days,5.0
Mariposa,2019,17420.0,27678.0,0.7999425947187141,0.15017221584385765,0.052583237657864525,52,36.4,7679.0,0 days,5.0
Mendocino,2013,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,363,58.7,240.0,1 days,4.0
Mendocino,2014,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,324,50.1,13001.0,46 days,3.0
Mendocino,2015,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,349,53.4,335.0,14 days,4.0
Mendocino,2016,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,323,52.8,86.0,6 days,2.0
Mendocino,2017,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,375,60.8,37589.0,589 days,4.0
Mendocino,2018,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,354,56.3,460393.0,1042 days,7.0
Mendocino,2019,87224.0,26784.0,0.6518504081445474,0.1748486655049069,0.07340869485462717,365,58.3,1068.0,12 days,4.0
Merced,2013,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1227,66.4,124.0,1 days,1.0
Merced,2014,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1288,69.2,300.0,1 days,1.0
Merced,2015,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1315,69.2,3058.0,4 days,3.0
Merced,2016,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1172,61.2,1276.0,1 days,2.0
Merced,2017,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1173,60.6,1812.0,17783 days,2.0
Merced,2018,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,1033,51.4,6861.0,1285 days,6.0
Merced,2019,271382.0,24873.0,0.2764995467643396,0.2071508058751133,0.0703178545371469,962,48.2,210.0,3 days,1.0
Modoc,2013,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,32,52.0,667.0,19 days,3.0
Modoc,2014,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,45,79.1,16374.0,21 days,4.0
Modoc,2015,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,34,56.7,5099.0,10 days,4.0
Modoc,2016,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,40,68.2,3032.0,29 days,2.0
Modoc,2017,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,58,106.3,92281.0,1814 days,10.0
Modoc,2018,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,53,82.6,41554.0,615 days,4.0
Modoc,2019,8907.0,25106.0,0.7769170315482204,0.18165487818569664,0.07252722577747839,54,96.7,20185.0,24 days,4.0
Mono,2015,14310.0,30701.0,0.6504542278127183,0.11970649895178197,0.13305380852550663,27,24.8,11185.0,29 days,3.0
Mono,2016,14310.0,30701.0,0.6504542278127183,0.11970649895178197,0.13305380852550663,19,20.8,3591.0,19 days,3.0
Mono,2017,14310.0,30701.0,0.6504542278127183,0.11970649895178197,0.13305380852550663,31,32.1,9295.0,190 days,2.0
Mono,2018,14310.0,30701.0,0.6504542278127183,0.11970649895178197,0.13305380852550663,47,51.4,6974.0,122 days,1.0
Mono,2019,14310.0,30701.0,0.6504542278127183,0.11970649895178197,0.13305380852550663,32,37.3,4840.0,0 days,1.0
Monterey,2013,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1107,35.2,1235.0,4 days,3.0
Monterey,2014,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1171,36.8,5315.0,5 days,3.0
Monterey,2015,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1224,38.3,1181.0,10 days,2.0
Monterey,2016,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1201,37.0,138770.0,106 days,7.0
Monterey,2017,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1169,35.7,2212.0,2720 days,14.0
Monterey,2018,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,1045,31.9,4123.0,1685 days,9.0
Monterey,2019,433410.0,28207.0,0.29934242403267114,0.12550010382778432,0.08422048406820332,953,28.7,3730.0,22 days,7.0
Napa,2013,139623.0,37953.0,0.5243405456121126,0.07601899400528567,0.049411629889058395,394,36.0,641.0,4 days,3.0
Napa,2014,139623.0,37953.0,0.5243405456121126,0.07601899400528567,0.049411629889058395,454,42.4,4333.0,19 days,3.0
Napa,2015,139623.0,37953.0,0.5243405456121126,0.07601899400528567,0.049411629889058395,382,34.7,25211.0,19 days,4.0
Napa,2016,139623.0,37953.0,0.5243405456121126,0.07601899400528567,0.049411629889058395,291,27.2,65.0,2 days,1.0
Napa,2017,139623.0,37953.0,0.5243405456121126,0.07601899400528567,0.049411629889058395,385,35.9,145123.0,826 days,6.0
